Tasks: 946 total,   1 running, 945 sleeping,   0 stopped,   0 zombie
  Mem:  5701156K total,  5598900K used,   102256K free,     2612K buffers
 Swap:  4194300K total,  1483264K used,  2711036K free,  2120804K cached
800%cpu 110%user   3%nice  71%sys 606%idle   0%iow  10%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 2583 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase]
 2501 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase]
 2451 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase]
 2274 u0_a149      10 -10  18G 241M 154M S  0.0   4.3   2:11.38 com.miui.home
 2266 system       10 -10  19G 340M 215M S  0.0   6.1   6:01.86 com.android.systemui
 2240 root         20   0  10G 2.8M 2.6M S  0.0   0.0   0:01.22 ip6tables-restore --noflush -w -v
 2232 radio        20   0  18G 158M 112M S  0.0   2.8   0:48.04 com.android.phone
 2230 root         20   0  10G 3.2M 2.8M S  0.0   0.0   0:01.32 iptables-restore --noflush -w -v
 2229 secure_element 20 0  16G 102M  71M S  0.0   1.8   0:00.26 com.android.se
 2226 radio        20   0  16G 108M  76M S  0.0   1.9   0:00.62 com.mediatek.smartratswitch
 2204 radio        20   0  16G 119M  86M S  0.0   2.1   0:02.50 com.mediatek.ims
 2178 network_stack 20  0  16G 123M  83M S  0.0   2.2   0:07.96 com.android.networkstack.process
 2168 webview_zygote 20 0  32G  70M  40M S  0.0   1.2   0:00.38 webview_zygote
 2032 u0_a201      20   0  16G 145M 104M S  0.0   2.6   0:03.54 com.miui.miwallpaper
 2030 wifi         20   0  10G 5.1M 4.9M S  0.0   0.0   0:02.57 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -dd -g@android:wpa_wlan0
 1998 root         10 -10    0    0    0 S  0.0   0.0   0:19.47 [rx_thread]
 1997 root         10 -10    0    0    0 S  0.0   0.0   1:34.79 [hif_thread]
 1996 root         10 -10    0    0    0 S  0.0   0.0   1:04.42 [main_thread]
 1969 wifi         20   0  10G 5.1M 4.9M S  0.0   0.0   0:00.33 android.hardware.wifi-service-lazy
 1907 root         10 -10  10G 3.7M 3.6M S  0.0   0.0   0:00.03 millet_monitor SIG
 1905 root         10 -10  10G 4.0M 3.7M S  0.0   0.0   0:00.02 millet_monitor PKG
 1903 root          0 -20  10G 3.6M 3.6M S  0.0   0.0   0:00.07 millet_monitor BINDER
 1522 radio        20   0  12G 8.2M 6.5M S  0.0   0.1   0:09.14 mtkfusionrild -l libmtk-ril.so
 1466 radio        20   0  11G 3.6M 3.6M S  0.0   0.0   0:02.43 gsm0710muxd -s /dev/ttyC0 -f 512 -n 8 -m basic
 1397 root         RT   0    0    0    0 S  0.0   0.0   0:00.01 [irq/48-goodix_fp_irq]
 1374 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [wlan_rst_thread]
 1356 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-fm_ei]
 1355 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-fm_ti]
 1344 shell        20   0  10G 3.5M 3.1M S  0.0   0.0   0:02.78 connsyslogger
 1331 system       20   0  10G 3.8M 3.8M S  0.0   0.0   0:00.04 vendor.xiaomi.sensor.communicate@1.0-service
 1328 root         20   0  10G 3.9M 3.8M S  0.0   0.0   0:00.02 displayfeature
 1326 system       20   0  10G 4.8M 4.7M S  0.0   0.0   0:00.04 netdagent
 1325 system       20   0  11G 4.7M 4.7M S  0.0   0.0   0:15.42 android.hardware.biometrics.fingerprint@2.1-service
 1323 system       20   0  10G 5.0M 4.8M S  0.0   0.0   0:00.01 jxnosfastswitch
 1321 root         20   0  10G 3.1M 2.8M S  0.0   0.0   0:00.02 monitor_crash_ssi
 1300 root         20   0  10G 4.6M 4.6M S  0.0   0.0   0:00.12 update_engine --logtostderr --logtofile --foreground
 1269 system       20   0  10G 4.2M 4.0M S  0.0   0.0   0:00.10 gatekeeperd /data/misc/gatekeeper
 1259 mediacodec   20   0  11G  11M 8.9M S  0.0   0.1   1:52.80 media.swcodec oid.media.swcodec/bin/mediaswcodec
 1258 wifi         20   0  10G 3.8M 3.7M S  0.0   0.0   0:00.03 wlan_assistant
 1257 system       20   0  10G 3.9M 3.8M S  0.0   0.0   0:00.24 vendor.xiaomi.hardware.touchfeature@1.0-service
 1251 system       20   0  11G 7.7M 7.2M S  0.0   0.1   0:01.05 vendor.mediatek.hardware.pq_aidl-service
 1249 media        20   0  28M 2.0M 1.8M S  0.0   0.0   0:17.88 v3avpud -f
 1246 system       30  10  10G 4.7M 4.5M S  0.0   0.0   0:00.05 mtk_storageproxyd -d /dev/trusty-ipc-dev1 -g /dev/trusty-ipc-dev0 -p /data/vendor/trusty -r /dev/0:0:0:49476
 1245 gps          20   0  11G 3.4M 3.3M S  0.0   0.0   0:00.12 mtk_agpsd
 1236 system        0 -20  10G 3.6M 3.3M S  0.0   0.0   0:00.03 ipsec_mon
 1224 system       20   0  10G 3.7M 3.4M S  0.0   0.0   0:00.02 thermalloadalgod
 1215 system       20   0  10G 3.6M 3.3M S  0.0   0.0   0:00.75 thermal
 1212 cameraserver 20   0  13G  26M  25M S  0.0   0.4   6:44.09 camerahalserver
 1209 mediacodec   20   0  27M 1.6M 1.2M S  0.0   0.0   0:00.09 media.codec hw/android.hardware.media.omx@1.0-service
 1194 shell        20   0  10G 3.5M 3.2M S  0.0   0.0   0:00.03 netdiag
 1180 system       20   0  10G 3.6M 3.2M S  0.0   0.0   0:18.07 mobile_log_d
 1178 root         20   0  11G 5.3M 5.0M S  0.0   0.0   0:00.08 miuibooster
 1175 media        20   0  87M  10M 7.5M S  0.0   0.1   0:21.61 mediaserver
 1164 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase]
 1161 system       20   0  10G 3.8M 3.7M S  0.0   0.0   0:00.02 thermald
 1160 root         20   0  11G  19M  19M S  0.0   0.3   0:00.20 shelld
 1159 root         20   0  10G 3.6M 3.6M S  0.0   0.0   0:00.02 fdpp daemon
 1156 root         20   0  11G 6.4M 6.1M S  0.0   0.1   0:00.05 misight
 1153 shell        20   0  10G 4.1M 4.1M S  0.0   0.0   0:00.07 lbs_dbg_ext
 1147 shell        20   0  11G 3.2M 3.1M S  0.0   0.0   0:01.27 emdlogger
 1146 wifi         20   0  10G 4.7M 4.4M S  0.0   0.0   0:00.08 wificond
 1144 root         30  10  11G 6.9M 4.7M S  0.0   0.1   0:00.87 storaged
 1143 media        20   0  11G 8.8M 5.3M S  0.0   0.1   0:01.44 media.metrics diametrics
 1142 mediaex      20   0  11G  15M  14M S  0.0   0.2   0:01.17 media.extractor aextractor
 1140 root         20   0  10G 4.5M 4.3M S  0.0   0.0   0:03.73 installd
 1137 incidentd    20   0  10G 4.5M 4.3M S  0.0   0.0   0:00.03 incidentd
 1134 cameraserver 20   0  11G  17M  16M S  0.0   0.2   0:41.49 cameraserver
 1132 gps          20   0  11G 4.5M 4.5M S  0.0   0.0   0:00.19 mnld
 1130 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq3_done_kt]
 1129 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq2_done_kt]
 1127 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq1_done_kt]
 1126 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq0_done_kt]
 1125 system       20   0  11G 6.2M 5.9M S  0.0   0.1   0:00.14 android.hardware.neuralnetworks-shim-service-mtk-legacy
 1122 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [skb_alloc_thread]
 1121 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [bat_alloc_thread]
 1120 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_rxq0_push]
 1119 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx15_]
 1118 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx14_]
 1117 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx13_]
 1116 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx12_]
 1115 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx11_]
 1114 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx10_]
 1113 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx9_w]
 1112 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx8_w]
 1111 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx7_w]
 1110 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx6_w]
 1109 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx5_w]
 1108 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx4_w]
 1107 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx3_w]
 1106 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx2_w]
 1105 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx1_w]
 1104 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx0_w]
 1103 system       20   0  11G  20M  20M S  0.0   0.3   0:00.28 vtservice
 1095 nobody       20   0  10G 3.4M 3.3M S  0.0   0.0   0:00.17 traced
 1088 nobody       20   0  10G 3.0M 3.0M S  0.0   0.0   0:00.07 traced_probes
 1083 drm          20   0  22M 1.3M 1.2M S  0.0   0.0   0:00.08 drmserver32
 1055 root         20   0    0    0    0 S  0.0   0.0   0:00.08 [mtk_wmtd_worker]
 1054 root         20   0    0    0    0 S  0.0   0.0   0:00.09 [mtk_wmtd]
 1053 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mtk_stp_btm]
 1052 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mtk_stp_psm]
 1031 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kdmfl]
 1028 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kdmfl]
 1026 system       20   0  10G 5.0M 5.0M S  0.0   0.0   0:00.06 gbe
  993 radio        20   0  10G 4.9M 4.7M S  0.0   0.0   0:00.05 ccci_rpcd 0
  992 system        0 -20  10G 5.0M 4.7M S  0.0   0.0   0:00.74 ccci_mdinit 0
  991 system       20   0  10M 636K 636K S  0.0   0.0   0:04.32 fuelgauged
  977 audioserver  20   0  10G 4.2M 3.9M S  0.0   0.0   0:00.70 android.hardware.audio.parameter_parser.service
  973 gpu_service  20   0  11G 7.0M 7.0M S  0.0   0.1   0:00.11 gpuservice
  969 credstore    20   0  10G 4.8M 4.8M S  0.0   0.0   0:00.03 credstore /data/misc/credstore
  964 audioserver  20   0  12G  28M  24M S  0.0   0.4   1:42.77 audioserver
  946 media        20   0  10G 8.0M 7.3M S  0.0   0.1   0:00.13 android.hardware.drm-service.widevine
  940 media        20   0  10G 4.6M 4.6M S  0.0   0.0   0:00.02 android.hardware.cas-service.example
  939 system       20   0  10G 4.8M 4.7M S  0.0   0.0   0:02.52 android.hardware.vibrator-service.mediatek
  934 system       20   0  10G 3.8M 3.8M S  0.0   0.0   0:00.01 vendor.xiaomi.hardware.otrpagent@2.0-service
  927 root         20   0  10G 3.7M 3.7M S  0.0   0.0   0:00.02 vendor.xiaomi.hardware.misys@4.0-service
  923 system       20   0  10G 3.7M 3.7M S  0.0   0.0   0:00.01 vendor.xiaomi.hardware.misys@3.0-service
  919 system       20   0  10G 3.8M 3.8M S  0.0   0.0   0:00.01 vendor.xiaomi.hardware.misys@2.0-service
  914 system       20   0  10G 3.7M 3.7M S  0.0   0.0   0:00.01 vendor.xiaomi.hardware.misys@1.0-service
  910 system       20   0  10G 4.7M 4.7M S  0.0   0.0   0:00.02 vendor.xiaomi.hardware.mikeybag-service
  907 system       20   0  10G 4.6M 4.6M S  0.0   0.0   0:00.19 vendor.xiaomi.hardware.micharge-service
  905 system       20   0  10G 5.9M 5.4M S  0.0   0.1   0:07.38 vendor.xiaomi.hardware.displayfeature@1.0-service
  904 root         20   0  10G 3.6M 3.6M S  0.0   0.0   0:00.11 vendor.xiaomi.hardware.cld@1.0-service
  903 system       20   0  10G 4.9M 4.8M S  0.0   0.0   0:00.02 vendor.mediatek.hardware.nwk_opt@1.0-service
  899 root         20   0  10G 4.8M 4.8M S  0.0   0.0   0:00.01 vendor.mediatek.hardware.nvram-service
  898 root         20   0  11G 8.6M 6.8M S  0.0   0.1   1:24.59 vendor.mediatek.hardware.mtkpower-service.mediatek
  896 mediacodec   20   0  11G 7.0M 6.9M S  0.0   0.1   0:00.16 vendor.dolby.media.c2-default-service-dax
  895 system       20   0  10G 5.2M 4.9M S  0.0   0.0   0:00.17 android.hardware.thermal-service.mediatek
  893 system       20   0  10G 6.9M 6.8M S  0.0   0.1   0:02.69 vendor.mediatek.hardware.mtkpower_applist-service.mediatek
  890 system       20   0  11G 4.5M 4.5M S  0.0   0.0   0:00.08 mtk_lbs_service
  883 system       20   0  10G 5.9M 5.9M S  0.0   0.1   0:00.19 mrmd_mitee
  878 system       20   0  10G 4.9M 4.6M S  0.0   0.0   0:21.58 android.hardware.memtrack-service.mediatek
  877 system       20   0  10G 4.6M 4.4M S  0.0   0.0   0:13.40 android.hardware.lights-service.mediatek
  876 system       20   0  10G 4.8M 4.8M S  0.0   0.0   0:00.03 vtservice_aidl
  875 media        20   0  11G 4.7M 4.7M S  0.0   0.0   0:00.17 vendor.dolby.dms.service
  874 system       20   0  10G 4.4M 4.4M S  0.0   0.0   0:00.25 android.hardware.usb.gadget-aidl-service.mediatekv1.0
  873 system       20   0  10G 4.4M 4.3M S  0.0   0.0   0:02.57 android.hardware.usb-aidl-service.mediatekv1.0
  872 system       20   0  10G 5.4M 5.2M S  0.0   0.0   0:27.61 android.hardware.sensors-service.multihal
  871 mediacodec   20   0  78M 8.5M 6.0M S  0.0   0.1   0:27.73 android.hardware.media.c2-mediatek
  870 system       20   0  10G 4.7M 4.7M S  0.0   0.0   0:00.01 android.hardware.ir-service.example
  869 system       20   0  10G 4.9M 4.8M S  0.0   0.0   0:06.53 android.hardware.health-service.example
  867 system       20   0  11G 6.7M 6.4M S  0.0   0.1   0:05.10 android.hardware.graphics.allocator-V2-service-mediatek
  866 system       20   0  10G 5.4M 5.2M S  0.0   0.0   0:00.08 android.hardware.gnss-service.mediatek
  865 system       20   0  10G 4.8M 4.8M S  0.0   0.0   0:00.22 android.hardware.gatekeeper-service.mitee
  864 media        20   0  10G 5.0M 5.0M S  0.0   0.0   0:00.02 android.hardware.drm-service.clearkey
  863 media        20   0  18M 504K 504K S  0.0   0.0   0:00.03 android.hardware.cas@1.2-service
  862 bluetooth    20   0  10G 4.8M 4.8M S  0.0   0.0   0:00.01 android.hardware.bluetooth-service-mediatek
  861 audioserver  20   0  11G  10M 7.0M S  0.0   0.1   4:58.59 android.hardware.audio.service-aidl.mediatek
  860 system       20   0  10G 3.3M 3.3M S  0.0   0.0   0:00.01 android.hidl.allocator@1.0-service
  852 root         20   0 1.7G  61M  61M S  0.0   1.1   0:02.27 zygote
  851 root         20   0  14G 136M 105M S  0.0   2.4   0:10.81 zygote64
  850 root         20   0  11G  10M 7.3M S  0.0   0.1   0:09.88 netd
  849 statsd       20   0  10G 4.5M 4.3M S  0.0   0.0   0:17.46 statsd
  837 root         20   0  10G 3.5M 3.5M S  0.0   0.0   0:04.50 vendor.xiaomi.hardware.mimd@1.0-service
  836 system       20   0  10G 3.1M 3.0M S  0.0   0.0   0:03.65 miteelog
  819 root         RT   0    0    0    0 S  0.0   0.0   0:16.13 [sugov:6]
  782 root          0 -20  11G 3.3M 3.3M S  0.0   0.0   0:05.65 mi_thermald
  767 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  766 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  765 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  764 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  763 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  762 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  761 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  760 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  759 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  758 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  757 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  756 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  755 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  754 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  753 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  752 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  751 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  750 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  749 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  748 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  747 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  746 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  744 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  743 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  742 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  741 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  740 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  739 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  737 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  736 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  735 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  734 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  733 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  732 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  731 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  730 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  729 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  728 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  727 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  726 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  725 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  724 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  723 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  722 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  721 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  720 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  719 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  718 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  717 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  716 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  715 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  714 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  713 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  712 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  711 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  710 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  709 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  708 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  707 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kveri]
  705 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  704 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  656 tombstoned   20   0  10G 2.7M 2.7M S  0.0   0.0   0:00.02 tombstoned
  651 root         20   0    0    0    0 S  0.0   0.0   0:00.14 [f2fs_gc-254:64]
  650 root         20   0    0    0    0 S  0.0   0.0   0:00.54 [f2fs_discard-254:64]
  649 root         20   0    0    0    0 S  0.0   0.0   0:03.60 [f2fs_ckpt-254:64]
  645 root         RT   0    0    0    0 S  0.0   0.0   0:37.79 [irq/40-fts_ts]
  642 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-fts_w]
  640 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [soc_decimal_task]
  612 system       20   0  10G 5.6M 4.9M S  0.0   0.1   0:03.35 android.hardware.security.keymint@3.0-service.mitee
  610 root         20   0  10G 5.2M 5.1M S  0.0   0.0   0:00.03 android.hardware.boot-service.mtk
  606 keystore     20   0  11G  10M 8.3M S  0.0   0.1   0:02.15 keystore2 /data/misc/keystore
  605 system       20   0  10G 5.4M 4.5M S  0.0   0.0   0:14.42 android.system.suspend-service
  603 system       20   0  10G 3.5M 3.4M S  0.0   0.0   0:00.04 wmt_launcher -p /vendor/firmware/ -o 1
  600 root         20   0  11G 4.7M 4.7M S  0.0   0.0   0:00.21 hypsys_system
  598 root         RT   0  10G 3.7M 3.5M S  0.0   0.0   0:00.05 aee_aedv64
  597 root         RT   0  15M 512K 384K S  0.0   0.0   0:00.07 aee_aedv
  596 root         RT   0  10G 4.5M 4.4M S  0.0   0.0   0:00.06 aee_aed64
  595 root         RT   0  16M 872K 744K S  0.0   0.0   0:00.07 aee_aed
  592 system       20   0  10G 3.1M 3.1M S  0.0   0.0   0:00.53 tee-supplicant
  591 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  590 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/sdc57-8]
  588 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  587 root         20   0    0    0    0 S  0.0   0.0   0:00.01 [jbd2/sdc15-8]
  583 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  582 root         20   0    0    0    0 S  0.0   0.0   0:00.17 [jbd2/sdc6-8]
  578 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  577 root         20   0    0    0    0 S  0.0   0.0   0:00.05 [jbd2/sdc7-8]
  576 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-mtk-v]
  575 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vdec_]
  574 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vdec_]
  573 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-mtk-v]
  572 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  571 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-task_]
  570 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  569 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  568 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  564 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  563 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/sdc19-8]
  554 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-uethe]
  553 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-uethe]
  552 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-uethe]
  547 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-usb_a]
  546 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vcore]
  545 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-dram_]
  544 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cpu_c]
  543 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cpu_f]
  542 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-]
  541 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/sdc18-8]
  540 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase]
  539 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-free_]
  538 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ged_f]
  537 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ged_k]
  536 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ged_n]
  528 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kdmfl]
  526 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cfg80]
  525 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mddp_rx]
  524 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-DPE-C]
  523 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  522 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  521 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-MSF-C]
  520 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-MSS-C]
  519 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  518 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  517 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-task_]
  516 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_]
  512 root         20   0  10G 5.4M 5.0M S  0.0   0.0   0:00.57 vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  509 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-accde]
  508 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-dismi]
  507 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-accde]
  506 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-delay]
